ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Field_10_1_0_48480_005,Field_10_1_0_48776_006
在「遭攻擊的研究員」中擊殺生物,在扎拉萊克洞窟的德瑞卡哲拉廢墟，在「遭攻擊的研究員」中擊殺生物。,253,145988,150,0,0
貪婪使者：擊殺盜寶哥布林,"From {EventStartDate} - {EventEndDate} kill treasure goblins in Stormwind, Orgrimmar, or on the Dragon Isles.",254,146252,250,0,0
獲得洛姆鼴鼠人聲望,,255,146080,100,0,0
仲夏火焰節慶：對小焦焰使用「/鞠躬」,From {EventStartDate} - {EventEndDate} emote /bow at a Summer Scorchling or a Festival Scorchling.,256,146088,50,0,0
贏得1場PvP寵物對戰,,258,146502,50,0,0
贏得5場PvP寵物對戰,,259,146504,100,258,0
捕獲一隻優秀品級戰寵,在扎拉萊克洞窟捕獲一隻優秀品級戰寵。,260,146506,100,0,0
在巨龍群島發起決鬥並獲勝,在沃卓肯、莫魯凱和洛姆與另一名玩家決鬥並獲勝。,261,146508,100,0,0
協助狡猾鬼贏得蝸牛競速,部落成員在扎拉萊克洞窟的葛利姆羅格比賽中，協助蝸牛狡猾鬼。,262,146515,100,0,0
協助害羞鬼贏得蝸牛競速,聯盟成員在扎拉萊克洞窟的葛利姆羅格比賽中，協助蝸牛害羞鬼。,263,146539,100,0,0
協助烤布蕾贏得蝸牛競速,在扎拉萊克洞窟的葛利姆羅格比賽中，協助蝸牛烤布蕾。,264,146541,100,0,0
在巨龍群島完成1條飛龍騎術拉力賽道,在巨龍群島的有效集合地點，與青銅時空守衛者交談。,265,146543,100,0,0
時尚大考驗：獲得20個時尚大考驗獎章,From {EventStartDate} - {EventEndDate} earn Trial of Style Tokens by participating in the Trial of Style.,266,146545,20,0,0
時尚大考驗：獲得300個時尚大考驗獎章,From {EventStartDate} - {EventEndDate} earn Trial of Style Tokens by participating in the Trial of Style.,267,146547,200,61,0
時尚大考驗：完成「拍美照」任務2次,"From {EventStartDate} - {EventEndDate} complete ""Work It"" quests on the Dragon Isles.",268,146549,20,0,0
時尚大考驗：完成「拍美照」任務10次,"From {EventStartDate} - {EventEndDate} complete ""Work It"" quests on the Dragon Isles.",269,146551,180,268,0
時尚大考驗：得第一,From {EventStartDate} - {EventEndDate} take first place in a Trial of Style competition.,270,146553,150,0,0
時尚大考驗：對勝利裝扮展示使用「/畏懼」,在{EventStartDate}-{EventEndDate}期間，在暴風城或奧格瑪的貿易站對勝利裝扮展示使用「/畏懼」。,271,146559,20,0,0
免費T恤日：拾取1件免費T恤,在{EventStartDate}當天，在暴風城或奧格瑪拾取免費「T恤」。,272,146561,50,0,0
免費T恤日：拾取7件免費T恤,在{EventStartDate}當天，在暴風城或奧格瑪拾取免費「T恤」。,273,146563,70,272,0
免費T恤日：穿著免費「T恤」，對敵對陣營的玩家使用「/強壯」,在{EventStartDate}當天，穿著免費「T恤」，對敵對陣營的玩家使用表情指令「/強壯」。,274,146565,80,0,0
暗月馬戲團：拾取格鬥戰士飾品,在{EventStartDate}-{EventEndDate}期間，在暗月島的暗月死鬥場中，取得格鬥戰士飾品。,275,146567,200,0,0
暗月馬戲團：參加荒疫野豬演唱會。,From {EventStartDate} - {EventEndDate} participate in the Blight Boar concert on Darkmoon Faire Island.,276,146767,150,0,0
暗月馬戲團：完成1場暗月競速,From {EventStartDate} - {EventEndDate} complete races at the Darkmoon Boardwalk on Darkmoon Faire Island.,277,146769,50,0,0
暗月馬戲團：完成4場暗月競速,From {EventStartDate} - {EventEndDate} complete races at the Darkmoon Boardwalk on Darkmoon Faire Island.,278,146774,100,277,0
時光漫遊：通關1個《燃燒的遠征》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete a Burning Crusade Timewalking dungeon.,279,146779,25,0,0
時光漫遊：通關5個《燃燒的遠征》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Burning Crusade Timewalking dungeons.,280,146787,100,279,0
Timewalking: Defeat Outland Pet Tamers,From {EventStartDate} - {EventEndDate} defeat Outland Master Tamers.,281,146797,150,0,0
Timewalking: Go Fishing in Outland,From {EventStartDate} - {EventEndDate} fish up items in Outland,282,146803,100,0,0
完成幼鱗托育所故事情節,在沃卓肯的幼鱗托育所與吉哈納交談。,283,146806,250,0,0
術士：完成更輕的魔影,以術士完成下列任務：,284,146821,150,0,0
取得占卜者或奧多爾的聲望崇拜,在撒塔斯取得占卜者或奧多爾陣營的聲望崇拜。,285,146834,100,0,0
完成1個幼鱗托育所每日任務,在沃卓肯的幼鱗托育所完成每日任務。,286,146921,100,0,0
完成5個幼鱗托育所每日任務,在沃卓肯的幼鱗托育所完成每日任務。,287,146937,100,286,0
獲得龍石,,288,147005,100,0,0
製造暗焰紋章,收集暗焰紋章碎片並製造任何類型的暗焰紋章。,289,147009,150,0,0
貿易站測試,貿易站測試,290,147073,1000,0,0
卡林多杯：完成5條飛龍騎術賽道,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.,291,147096,100,0,0
卡林多杯：完成10條飛龍騎術賽道,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.,292,147098,150,291,0
卡林多杯：完成20條飛龍騎術賽道,From {EventStartDate} - {EventEndDate} speak to a Bronze Timekeeper on Kalimdor.,293,147100,200,292,0
卡林多杯：收集飛龍競速騎師盔帽外觀,From {EventStartDate} - {EventEndDate} purchase the Drake Racer's Helmet from Maztha in Valdrakken.,294,147102,50,0,0
卡林多杯：穿戴飛龍競速騎師裝備，然後對安德斯塔茲領主使用「/敬禮」,From {EventStartDate} - {EventEndDate} emote /salute at Lord Andestrasz in Valdrakken while wearing Drake Racer's gear.,295,147104,20,0,0
卡林多杯：從青銅時空守衛助手那裡獲得方向指引,在{EventStartDate}-{EventEndDate}期間，與卡林多的青銅時空守衛助手交談，獲得賽道位置的相關指示。,296,147106,20,0,0
喚能師：完成強化巨龍,以強化喚能師的身分完成下列任務：,297,147108,100,0,0
在紀元邊境完成2個每日任務,在薩爪祖斯的紀元邊境完成每日任務。,298,147197,100,0,0
在紀元邊境完成5個每日任務,在薩爪祖斯的紀元邊境完成每日任務。,299,147204,100,298,0
完成1個時間裂隙,前往巨龍群島的薩爪祖斯，在提爾堡蓄水池完成時間裂隙。,300,147575,50,0,0
完成5個時間裂隙,前往巨龍群島的薩爪祖斯，在提爾堡蓄水池完成時間裂隙。,301,147577,150,300,0
擊敗亞茲莫洛斯,前往巨龍群島的薩爪祖斯，在提爾堡蓄水池的時間裂隙擊敗亞茲莫洛斯。,302,147579,100,0,0
對索芮朵蜜使用「/吃驚」,前往巨龍群島的薩爪祖斯，對提爾堡蓄水池的索芮朵蜜使用表情指令「/吃驚」。,303,147581,50,0,0
獲得一箱塌縮的現實,前往巨龍群島的薩爪祖斯，從提爾堡蓄水池的時間裂隙獲得一箱塌縮的現實。,304,147583,50,0,0
啤酒節：獲得100個啤酒節獎品章,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.,305,147728,100,0,0
啤酒節：獲得300個啤酒節獎品章,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.,306,147730,100,305,0
啤酒節：獲得600個啤酒節獎品章,From {EventStartDate} - {EventEndDate} earn Brewfest Prize Tokens by participating in Brewfest.,307,147732,200,306,0
擊敗阿薩斯,前往巨龍群島的薩爪祖斯，在提爾堡蓄水池的時間裂隙擊敗阿薩斯。,308,147734,100,0,0
擊敗伊利丹,前往巨龍群島的薩爪祖斯，在提爾堡蓄水池的時間裂隙擊敗伊利丹。,309,147736,100,0,0
時光漫遊：通關1次《巫妖王之怒》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete a Wrath of the Lich King Timewalking dungeon.,310,147759,25,0,0
時光漫遊：通關5個《巫妖王之怒》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Wrath of the Lich King Timewalking dungeons.,311,147770,100,310,0
時光漫遊：通關1次《浩劫與重生》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete a Cataclysm Timewalking dungeon.,312,147780,25,0,0
時光漫遊：通關5個《浩劫與重生》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Cataclysm Timewalking dungeons.,313,147788,100,312,0
啤酒節：擊殺寇仁‧恐酒,From {EventStartDate} - {EventEndDate} kill Coren Direbrew.,314,147798,150,0,0
海盜節：成為一日海盜,From {EventStartDate} - {EventEndDate} speak to Dread Captain DeMeza in Booty Bay and become a member of her crew.,315,147800,80,0,0
海盜節：你需要一艘大一點的船,在{EventStartDate}-{EventEndDate}期間，與藏寶海灣的驚懼船長狄米撒談話，完成「你需要一艘大一點的船」任務。,316,147802,80,0,-40
海盜節：與彼提一起擊敗哈蘭‧史威特,在{EventStartDate}-{EventEndDate}期間，與藏寶海灣的驚懼船長狄米撒談話，獲得彼提，然後在彼提站在肩上的情況下，擊敗哈蘭‧史威特。,317,147804,80,0,0
收穫節：緬懷英雄,在{EventStartDate}-{EventEndDate}期間，與奧格瑪外面的亞尼‧納沙克或鐵爐堡外面的瓦格納‧巨錘談話，完成「緬懷英雄」任務。,318,147806,200,0,0
收穫節：對榮耀的先祖或英雄使用「/鞠躬」,在{EventStartDate}-{EventEndDate}期間，對奧格瑪外面的榮耀的先祖或鐵爐堡外面的榮耀的英雄使用表情指令「/鞠躬」。,319,147809,100,0,0
艾澤拉斯秘聞：發現一個秘聞,From {EventStartDate} - {EventEndDate} complete a Secrets of Azeroth quest or discover a related secret.,320,147811,50,0,0
被遺忘者：完成傳承護甲故事線,以被遺忘者角色完成下列傳承護甲任務：,321,147832,100,0,0
Timewalking: Defeat Northrend Pet Tamers,From {EventStartDate} - {EventEndDate} defeat Northrend Master Tamers.,322,147839,100,0,0
Timewalking: Defeat Cataclysm Pet Tamers,From {EventStartDate} - {EventEndDate} defeat Master Tamers in Kalimdor and the Eastern Kingdoms.,323,147845,100,0,0
艾澤拉斯秘聞：發現3個秘聞,From {EventStartDate} - {EventEndDate} complete Secrets of Azeroth quests or discover related secrets.,324,147853,100,320,0
艾澤拉斯秘聞：發現7個秘聞,From {EventStartDate} - {EventEndDate} complete Secrets of Azeroth quests or discover related secrets.,325,147856,150,324,0
在巨龍群島完成1條飛龍騎術挑戰賽道,在巨龍群島與青銅時空守衛者交談。,326,147859,25,0,0
在巨龍群島完成5條飛龍騎術挑戰賽道,在巨龍群島與青銅時空守衛者交談。,327,147861,50,326,0
在巨龍群島完成10條飛龍騎術挑戰賽道,在巨龍群島與青銅時空守衛者交談。,328,147863,50,327,0
在巨龍群島完成20條飛龍騎術挑戰賽道,在巨龍群島與青銅時空守衛者交談。,329,147865,100,328,0
完成3個清晰夢境,在巨龍群島各地的夢境湧現區域完成清晰夢境事件。,330,147867,50,0,0
完成15個清晰夢境,在巨龍群島各地的夢境湧現區域完成清晰夢境事件。,331,147869,100,330,0
擊敗3個受到夢境湧現強化的稀有精英,在巨龍群島目前的夢境湧現區域擊敗稀有精英。,332,147871,50,0,0
擊敗15個受到夢境湧現強化的稀有精英,在巨龍群島目前的夢境湧現區域擊敗稀有精英。,333,147873,100,332,0
收集100個夢境湧現精華,在巨龍群島各地的夢境湧現區域，透過活動收集夢境湧現精華。,334,147875,100,0,0
完成「和解」故事線,與沃卓肯的龍隊指揮官安珀莎談話，開始「隻翼難行」任務。,335,147877,100,0,0
時光漫遊：通關1個《潘達利亞之謎》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Mists of Pandaria Timewalking dungeons.,336,147879,25,0,-40
時光漫遊：通關5個《潘達利亞之謎》時光漫遊地城,From {EventStartDate} - {EventEndDate} complete Mists of Pandaria Timewalking dungeons.,337,145198,100,336,-40
收集250個夢境湧現精華,在巨龍群島各地的夢境湧現區域，透過活動收集夢境湧現精華。,339,149014,150,334,0
擊敗受到夢境湧現強化的稀有精英,在巨龍群島目前的夢境湧現區域擊敗稀有精英。,340,147886,100,0,0
暗月馬戲團：掄起鐵錘吧,From {EventStartDate} - {EventEndDate} complete the quest It's Hammer Time on Darkmoon Faire Island.,341,147895,50,0,0
暗月馬戲團：享受搭車快感,From {EventStartDate} - {EventEndDate} ride the Darkmoon Faire carousel or rollercoaster on Darkmoon Faire Island.,342,147897,50,0,0
對巨龍寶庫的客人使用「/跳舞」,在沃卓肯的巨龍寶庫，對舞會客人使用表情指令「/跳舞」。,343,147900,50,0,0
隨機團隊：戴著粉紅派對帽通關團隊副本,戴著粉紅派對帽通關隨機團隊副本。,344,147905,50,0,0
啤酒節：完成2個啤酒節任務,From {EventStartDate} - {EventEndDate} complete Brewfest quests in the world.,345,147937,50,0,-50
啤酒節：完成5個啤酒節任務,From {EventStartDate} - {EventEndDate} complete Brewfest quests in the world.,346,147939,150,345,-50
以不死寵物贏得1場PvP寵物對戰,以至少包含2隻不死寵物的陣容贏得1場PvP寵物對戰,347,148003,50,0,0
萬鬼節：在戰爭模式下走訪糖果桶,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets around the world while in War Mode.,348,148005,50,0,-60
照料你在日歌農莊的農場,前往四風峽的半丘，在日歌農莊耕地。,350,148009,50,0,-40
在巨龍群島的4條飛龍騎術賽道取得金牌,在巨龍群島與青銅時空守衛者交談。,351,148012,50,0,0
萬鬼節：走訪巨龍群島的糖果桶,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in the Dragon Isles.,353,148016,50,0,-50
萬鬼節：走訪潘達利亞的糖果桶,From {EventStartDate} - {EventEndDate} collect Handful of Treats from Candy Buckets in Pandaria.,354,148018,50,0,-50
萬鬼節：完成5個萬鬼節每日任務,From {EventStartDate} - {EventEndDate} visit Stormwind or Undercity to complete Hallow's End daily quests.,355,148020,100,0,-60
萬鬼節：完成15個萬鬼節每日任務,From {EventStartDate} - {EventEndDate} visit Stormwind or Undercity to complete Hallow's End daily quests.,356,148022,150,355,-60
萬鬼節：重複擊敗無頭騎士,From {EventStartDate} - {EventEndDate} defeat The Headless Horseman again and again.,357,148026,100,0,-60
萬鬼節：在擁有全部4個巫木邪偶詛咒的情況下，擊敗無頭騎士,From {EventStartDate} - {EventEndDate} defeat The Headless Horseman after accepting all 4 curses from the Wicker Men.,358,148028,100,0,-60
萬鬼節：戴著萬鬼節面具咬蘋果,From {EventStartDate} - {EventEndDate} bob for apples while wearing a Hallow's End mask.,359,148042,50,0,-60
暗月馬戲團：與受擾的靈魂交談,From {EventStartDate} - {EventEndDate} talk to a ghost on the Darkmoon Faire island.,360,148056,50,0,-10
偉大的諾姆瑞根路跑：參加偉大的諾姆瑞根路跑,在{EventStartDate}當天，在丹莫洛的新地精區參加賽跑。,361,148058,100,0,-30
啤酒節：參加大胃王比賽,From {EventStartDate} - {EventEndDate} participate in the Brewfest Chowdown competition near Ironforge or Orgrimmar.,362,148060,50,0,-20
對一名被遺忘者玩家使用「/咯咯笑」,對一名被遺忘者玩家使用表情指令「/咯咯笑」。,363,148065,50,0,0
在禁忌之境完成飛龍騎術世界任務,在巨龍群島與青銅時空守衛者交談。,364,148098,100,0,0
在巨龍群島完成飛龍騎術進階競賽,在甦醒海岸、雍亞拉平原、蒼藍高地和薩爪祖斯完成飛龍騎術進階競賽。,365,148100,100,0,0
暗月馬戲團：戴著魚頭進行地城,在{EventStartDate}-{EventEndDate}期間，利用地城搜尋器工具，戴著從暗月島釣起的被砍下來的赤鱗魚頭或青鰭魚頭，通關1個地城。,366,148102,100,0,-30
偉大的諾姆瑞根路跑：以10級以下的地精角色，穿著粉紅襯衣完成偉大的諾姆瑞根路跑,在{EventStartDate}當天，在丹莫洛的新地精區，以1-10級的地精或機械地精角色，穿著粉紅魔紋襯衣參加賽跑。,367,148104,150,0,-30
在巨龍群島採集50份草藥、礦石或獸皮,,368,148528,50,0,0
在巨龍群島採集250份草藥、礦石或獸皮,,369,148743,100,368,0
完成下列任2個飛龍騎術世界任務,,370,148532,100,0,0
透過飛龍騎術消耗100點活力,,371,148542,50,0,0
透過飛龍騎術消耗1000點活力,,372,148546,100,371,0
暗月馬戲團：完成「射擊得分！」,"From 11/5 - 11/11 complete the quest He Shoots, He Scores! on Darkmoon Faire Island.",373,148550,50,0,-30
完成1個「生命火花」任務,在巨龍群島完成1個「生命火花」任務。,375,148554,100,0,0
打贏1場不到70級的戰場,,376,148556,100,0,0
以火雞贏得1場PvP寵物對戰,以至少包含1隻任意火雞的陣容贏得1場PvP寵物對戰,377,148558,100,0,0
餵戰寵吃點心,餵戰寵吃快樂寵物點心、寵物點心或小寵物點心。,378,148560,50,0,0
World Quest Bonus Week: Complete World Quests while in a Party,From {EventStartDate} - {EventEndDate} complete world quests while in a party.,379,148564,100,0,-20
Battleground Bonus Week: Win an Epic Battleground,From {EventStartDate} - {EventEndDate} Win an Epic Battleground.,380,148566,100,0,-50
Dragonflight Dungeon Bonus Week: Complete Heroic Dungeons with Random Players,在{EventStartDate}-{EventEndDate}期間，利用地城搜尋器工具，與隨機玩家一起通關英雄難度地城。,381,148568,150,0,-80
帶領公會進行地城,利用地城搜尋器工具，以公會隊伍通關地城。,383,148572,150,0,0
組隊完成任務,,384,148574,100,0,0
同時獲得下列所有增益效果,,385,148576,50,0,0
騎乘另一名玩家的坐騎,,386,148582,50,0,0
亡者節：擊敗競爭者,在{EventStartDate}-{EventEndDate}期間，向查普曼購買競爭者服裝，並擊敗另一名同樣穿著競爭者服裝的玩家。,387,148584,100,0,-10
亡者節：完成「感激的亡者」任務,在{EventStartDate}-{EventEndDate}期間，完成可在所屬種族主城找到的「感激的亡者」任務。,388,148586,100,0,-10
梟獸節：完成「觀察梟獸」,在{EventStartDate當天，在卡林多的月光林地完成「觀察梟獸」任務,389,148588,150,0,-40
魔獸世界週年慶：參與「科爾拉克復仇之地」,From {EventStartDate} - {EventEndDate} participate in the Korrak's Revenge battleground.,390,148590,100,0,-60
魔獸世界週年慶：殺死厄運行者,From {EventStartDate} - {EventEndDate} kill Doomwalker in Tanaris.,391,148592,100,0,-60
魔獸世界週年慶：對李洛伊‧詹金斯使用「/歡呼」,From {EventStartDate} - {EventEndDate} emote /cheer at Leeroy Jenkins in the Caverns of Time.,392,148594,50,0,-60
魔獸世界週年慶：以未滿20級的角色組隊完成任務,From {EventStartDate} - {EventEndDate} complete 5 quests while in a party and under level 20.,393,148596,100,0,-60
梟獸節：與梟獸寶寶一起擊殺敵人,在{EventStartDate}當天，在卡林多的月光林地與梟獸寶寶成為朋友，然後在梟獸的陪同下擊殺25個可獲得經驗值的敵人。,394,148609,150,0,-40
魔獸世界週年慶：在主城發射煙火,From {EventStartDate} - {EventEndDate} launch 10 Celebration Fireworks or Fireflights in Stormwind or Orgrimmar.,395,148611,50,0,-60
旅人豐年祭：獲得有福同享,From {EventStartDate} - {EventEndDate} eat all of the foods at a Bountiful Table to gain the Spirit of Sharing.,396,148617,50,0,-70
旅人豐年祭：在巨龍群島的所有地區獲得有福同享,在{EventStartDate}-{EventEndDate}期間，在下列每一個地區享用豐年祭餐席上的每一道菜餚，獲得有福同享。,397,148619,100,396,-70
旅人豐年祭：烹飪所有旅人豐年祭食譜,From {EventStartDate} - {EventEndDate} cook all of the following Pilgrim's Bounty foods.,398,148638,100,0,-70
旅人豐年祭：完成任務,From {EventStartDate} - {EventEndDate} complete 5 Pilgrim's Bounty quests.,399,148656,100,0,-70
旅人豐年祭：品嚐艾澤拉斯美食,From {EventStartDate} - {EventEndDate} eat one of each of the foods listed below.,400,148660,150,0,-70
旅人豐年祭：讓大家渾身都是火雞羽毛,From {EventStartDate} - {EventEndDate} shoot each of the following player races with Turkey Shooters.,401,148674,100,0,-70
旅人豐年祭：戴著旅人之帽獵殺火雞,在{EventStartDate}-{EventEndDate}期間，戴著旅人之帽，在艾爾文森林、提里斯法林地或雍亞拉平原快速獵殺野生火雞，獲得火雞制霸。,402,148717,150,0,-70
魔獸世界週年慶：以新戰寵贏得1場PvP寵物對戰,在{EventStartDate} - {EventEndDate}期間，以包含小霜翼的陣容贏得1場PvP寵物對戰。,403,148719,100,0,-60
使用龍石升級物品,,404,148721,100,0,0
與透過「招兵買馬」回鍋的好友或邀請你回鍋的好友一起通關1個隨機地城或戰場,利用地城搜尋器工具，與透過「招兵買馬」回鍋的好友或邀請你回鍋的好友組隊，通關1個隨機地城或隨機戰場。,405,148739,150,0,0
升級艾澤拉斯烹飪,,406,149016,100,0,0
享用史詩級或傳說級集體盛宴,參加伊斯凱拉巨牙海民的集體盛宴，提高其稀有度，然後享用史詩級湯品！,407,149018,100,0,0
參與激烈鬥爭,,409,149478,50,0,0
贏得1場激烈鬥爭亂鬥,,410,149481,50,0,0
贏得5場激烈鬥爭亂鬥,,411,149571,50,410,0
達到20級,將任意角色升級到20級。,412,149577,25,0,0
在巨龍群島全境獲得聲望,,414,149607,70,0,0
擊敗5個團隊副本首領,,415,149619,50,0,10
擊敗20個團隊副本首領,,416,149621,100,415,10
完成10個任務,完成可獲得經驗值的任務。,417,149633,100,0,0
完成25個任務,完成可獲得經驗值的任務。,418,149635,100,417,0
完成50個任務,完成可獲得經驗值的任務。,419,149637,100,418,0
完成5個世界任務,,420,149639,50,0,0
完成10個世界任務,,421,149641,50,420,0
完成25個世界任務,,422,149643,100,421,0
擊敗25個地城首領,擊敗可獲得經驗值的地城首領。,423,149645,100,0,0
製造一個暗焰紋章,收集暗焰紋章碎片並製造任何類型的暗焰紋章。,424,149647,30,0,0
達到30級,將任意角色升級到30級。,426,149713,25,0,0
達到40級,將任意角色升級到40級。,427,149715,25,0,0
達到50級,將任意角色升級到50級。,428,149717,25,0,0
達到60級,將任意角色升級到60級。,429,149719,25,0,0
達到70級,將任意角色升級到70級。,430,149721,25,0,0
獲得職業等級,Level up on any character.,431,149723,50,0,0
Timewalking: Defeat Broken Isles Pet Tamers,From {EventStartDate} - {EventEndDate} defeat Broken Isles Master Tamers.,432,149987,100,0,0
Timewalking: defeat Burning Crusade Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Burning Crusade raids.,433,149937,100,0,0
Timewalking: defeat Wrath of the Lich King Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Wrath of the Lich King raids.,434,149935,100,0,0
Timewalking: defeat Cataclysm Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Cataclysm raids.,435,149945,100,0,0
Timewalking: defeat Mists of Pandaria Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Mists of Pandaria raids.,436,149941,100,0,0
Timewalking: defeat Warlords of Draenor Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Warlords of Draenor raids.,437,149939,100,0,0
Timewalking: defeat Legion Raid Bosses,From {EventStartDate} - {EventEndDate} defeat bosses in Legion raids.,438,149943,100,0,0
Timewalking: Complete Quests in Outland,From {EventStartDate} - {EventEndDate} complete quests in Outland.,439,149951,100,0,0
Timewalking: Complete Quests in Northrend,From {EventStartDate} - {EventEndDate} complete quests in Northrend.,440,149947,100,0,0
Timewalking: Complete Quests in Kalimdor and the Eastern Kingdoms,From {EventStartDate} - {EventEndDate} complete quests in Kalimdor and the Eastern Kingdoms.,441,149957,100,0,0
Timewalking: Complete Quests in Pandaria,From {EventStartDate} - {EventEndDate} complete quests in Pandaria.,442,149953,100,0,0
Timewalking: Complete Quests in the Broken Isles,From {EventStartDate} - {EventEndDate} complete quests in the Broken Isles.,443,149955,100,0,0
"Timewalking: Gather Herbs, Ores, and Skins in Outland","From {EventStartDate} - {EventEndDate} gather herbs, ores, and skins in Outland.",444,149965,100,0,0
"Timewalking: Gather Herbs, Ores, and Skins in Northrend","From {EventStartDate} - {EventEndDate} gather herbs, ores, and skins in Northrend.",445,149959,100,0,0
"Timewalking: Gather Herbs, Ores, and Skins in Kalimdor and the Eastern Kingdoms","From {EventStartDate} - {EventEndDate} gather herbs, ores, and skins in Kalimdor and the Eastern Kingdoms.",446,149974,100,0,0
"Timewalking: Gather Herbs, Ores, and Skins in Pandaria","From {EventStartDate} - {EventEndDate} gather herbs, ores, and skins in Pandaria.",447,149968,100,0,0
"Timewalking: Gather Herbs, Ores, and Skins in Draenor","From {EventStartDate} - {EventEndDate} gather herbs, ores, and skins in Draenor.",448,149962,100,0,0
"Timewalking: Gather Herbs, Ores, and Skins in the Broken Isles","From {EventStartDate} - {EventEndDate} gather herbs, ores, and skins in the Broken Isles.",449,149971,100,0,0
Timewalking: Go Fishing in Kalimdor and the Eastern Kingdoms,From {EventStartDate} - {EventEndDate} fish up items in Kalimdor and the Eastern Kingdoms.,450,149985,100,0,0
Timewalking: Go Fishing in Pandaria,From {EventStartDate} - {EventEndDate} fish up items in Pandaria.,451,149981,100,0,0
獲得夢境守望者聲望,,452,149756,100,0,0
Pick Dreamfruits in the Superbloom,在翡翠夢境的繁盛綻放事件中獲得10個夢果能力。,453,149763,25,0,0
Participate in an Epic Superbloom,Participate in a Superbloom event in the Emerald Dream that earns Epic quality.,454,149765,25,0,0
Plant 15 Dreamseeds in the Emerald Dream,,455,149767,25,456,0
Plant 5 Dreamseeds in the Emerald Dream,,456,149771,25,0,0
重新製作裝備,Use a crafting profession to recraft equipment at a crafting bench.,457,149775,50,0,0
Complete Dragonriding Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.,458,149784,50,0,0
Complete Dragonriding Challenge Courses in the Emerald Dream.,Speak to a Bronze Timekeeper in the Emerald Dream.,459,149786,50,0,0
Complete Reverse Dragonriding Courses in the Emerald Dream,Speak to a Bronze Timekeeper in the Emerald Dream.,460,149788,50,0,0
Slay Players in The Emerald Dream,,461,149795,100,0,0
Loot Rousing Ire,,462,149797,100,0,0
Defeat Dream Pets,Defeat 5 of the following pets found in the Emerald Dream.,463,149799,50,0,0
Catch a Winter Pet,Catch one of the following wintery pets.,464,149801,50,0,0
Be Resurrected,,465,149808,25,0,0
Kill Enemies in the Cold,Slay 30 enemies in one of the following zones.,466,149823,50,0,0
造成冰霜傷害,"Deal a total of 500K Frost damage. Frost damage is commonly dealt by mages, shamans, and death knights.",467,149830,50,0,0
Participate in Superblooms,Participate in 3 Superbloom events in the Emerald Dream.,468,149832,25,0,0
Plant Dreamseeds in the Emerald Dream,,469,149834,25,0,0
Arena Skirmish Bonus Week: Win Daily Arena Matches,From {EventStartDate} - {EventEndDate} win an arena match on four different days.,470,150004,100,0,-65
World Quest Bonus Week: Complete World Quests,From {EventStartDate} - {EventEndDate} complete world quests.,471,149857,50,0,-80
New Year's Eve: Launch Red and Blue Fireworks in Capital Cities,On {EventStartDate} launch 10 Red or Blue Fireworks in Stormwind or Orgrimmar while the fireworks celebrations are happening.,473,149871,100,0,-500
Feast of Winter Veil: Kill 6 Festive Bosses,From {EventStartDate} - {EventEndDate} kill six of the following bosses.,474,149883,50,27,-100
Feast of Winter Veil: Kill 9 Festive Bosses,From {EventStartDate} - {EventEndDate} kill nine of the following bosses.,475,149897,50,474,-100
"Feast of Winter Veil: Slay The Abominable Greench (Twice, To Be Sure)",From {EventStartDate} - {EventEndDate} kill The Abominable Greench the Hillsbrad Foothills. Twice.,476,149911,50,0,-100
[DNT] Complete World Quests during World Quest Bonus Week,[DNT] From {EventStartDate} - {EventEndDate} complete world quests.,477,149857,50,0,-50
最後高漲：完成任務,在{EventStartDate}-{EventEndDate}期間完成可獲得經驗值的任務。,478,149923,150,0,0
最後高漲：完成世界任務,在{EventStartDate}-{EventEndDate}期間完成世界任務。,479,149925,150,0,0
Complete the Misfit Dragons Storyline,Speak to Wrathion in the Emerald Dream to begin this storyline.,483,150035,50,0,0
夜精靈：完成傳承護甲故事線,以夜精靈角色完成下列傳承護甲任務：,484,150069,100,0,0
Gain Class Levels,Level up on any character.,486,150278,50,0,0
Gain Class Levels,Level up on any character.,487,149723,50,0,0
